,flag
國泰航空 CX694 於 2 月 24 日抵港。,nt
第 105 宗,m
樂陶苑維勝,nr
閣。,v
跟隨,v
最近,TIME
獲,n
瑪麗醫院接受治療，現時情況,nz
 1 月中獨,nr
自由,ad
 3 月 5 日,nz
第四,m
機從武漢,nr
病徵，抵港後隨,nr
 3 月 7 日證實對病毒,nz
第 105 及 107 宗,nz
團友,n
 2 月 4 日至 19 日,nz
徵。3 月 6 日,nr
，同日轉,nr
瑪麗醫院接受治療，3 月 7 日確診。,nz
碧瑤,n
第 31 座,m
旅遊，3 月 2 日開始肚瀉，上呼吸道樣本對病毒,nz
陰性，之後,nz
 3 月 7 日,nr
抽取,v
深喉唾液樣本，發現對病毒,nz
檢疫，,nr
為第 83 宗,nr
第 84 宗,m
父親。,nz
北角百福花園康福閣,nt
首次,m
樣本對病毒,nz
 3 月 8 日證實對病毒,nz
，現時,nr
訪「福慧精舍」,nr
（除早,v
第 90 宗,m
家,n
傭）,v
藍,v
塘道 108 號安慧苑。 2 月 19 日潛伏期內,nt
公幹，21 日,nz
轉機,n
 C,nr
X,v
250 ,m
抵,v
港，自 3 月 6 日起出現喉嚨痛、頭痛、,nt
水,n
病徵，之後到律敦治醫院檢測對病毒,nz
陽性。,nz
三名,m
傭沒,nr
數名,m
團，,n
元朗十八鄉路 83 號原築 ,nt
1 座,m
兒子、,nr
將,v
第 106 宗,m
。過,nr
半山寶珊道 14-16 號寶城大廈 A 座的寓所，3 月 5 日獨自遷往堅尼地城德輔道西 341 號， 3 月 6 日,nt
 3 月 7 日出現咳嗽， 3 月 8 日起出現發燒徵狀， 3 月 9 日確診，,nz
溫哥華確診,nr
來到,v
 2 月 24 日至 29 ,nz
）碧瑤灣 ,nr
28 座,m
 3 月 9 日入住檢疫中心,nt
前發,n
第 117 位,m
外傭,n
大埔街市,LOC
食環署員工,nt
 2 月 27 日至 3 月 7 日隨新華旅行團,nt
埃及,LOC
，估,nr
計,v
港後,LOC
咳嗽，3 月 8 日,nz
大埔,LOC
素急,a
症室,n
診，並,nr
交回,v
深喉唾液樣本。,nz
 3 月 9 日,nr
下午,TIME
診，但暫,nr
未知,v
哪位,r
富亨邨,LOC
亨泰樓，太太與,nt
有病,v
醫院隔離，等待檢測結果。兒子則沒有去旅行，會入住檢疫中心,nt
曾參加,PER
團,v
 8 名團友，,nz
 3 月 7 日出現流鼻水，3 月 8 日出現發燒。,nz
 3 月 9 日到屯門醫院,nt
對冠狀病毒,nz
，情況,nr
121 宗,m
為一對,v
屯門兆禧苑安禧閣,ns
夫婦。他們與第 ,nr
119 宗,m
 2 月 27 日至 3 月 7 日從,nz
 3 月 7 日出現發燒。,nz
3月9日,TIME
第 120 宗,m
119 位,m
廣林,n
苑茂林閣，,nr
因為,v
觸東莞確診,nr
視為,v
320 ,m
來往,v
西班牙,LOC
馬德里，,nr
1 名,m
中國確,n
上周,TIME
停留,v
， 6 日流鼻水， 9 日發冷， 10 日由檢疫中心轉送威院,nt
。 2 月 21 日,nz
荷蘭,n
阿姆斯特丹,LOC
， 2 月 25 日返港。,nz
青山公路碧提半島 7 座,ns
 3 月 7 日返港，,nz
，其間,nr
深井村鴻記，,nz
附近,f
醫。 3,nr
 月10 日,t
長洲,LOC
市政,n
食,v
飯。,v
第 119 宗患者（食環署大埔男管工）,nt
， 3 月 6 日出現咳,nz
，潛,nr
伏期,n
富亨商場。,nz
團導遊，,nr
德福花園 T 座及與,ns
。 3 月 8 日,nr
醫院，潛伏期,nt
除於,p
 2 月 25 及 26 日,nz
，帶,v
團回港後,nr
與親友,nr
拜,v
山，,n
與個別,nr
麗港城，3 月 10 日進入檢疫中心,nt
發燒症狀,nz
，轉,v
醫院。夫婦二人與女兒同住，潛伏期,nt
藍田,v
麗港公園,v
運動,v
超市,n
買,v
菜,n
醫院，夫婦二人與女兒同住，潛伏期,nt
第 58 宗,m
 36 歲女兒，住將軍澳怡明邨怡情樓。父親確,nt
檢疫,v
， 3 月 1 日,nz
完成,v
 3 月 8 日有肚瀉，,nz
明愛醫院。潛伏期超過 14 日。,nt
第 123 宗,m
深井,n
碧堤,n
半島 7 座。自 3 月 8 日出現喉嚨,nz
徵狀。 3 月 10 日中心,nt
仁濟醫院， 3 月 11 日轉送瑪嘉烈醫院,nt
 2 月 29 日從,nz
英國,v
港，居,LOC
葵涌青山公路 iPlace ,nz
 3 月 3 日開始發燒，3 月 10 日到瑪嘉烈醫院,nt
來,v
第 130 宗,m
，2 月 29 日,nz
國泰 C,nr
抵港,v
岳父母,n
 3 月 3 日開始發燒。,nz
堅尼地城西寧街西,LOC
寧閣,nr
 3 月 8 日,nr
、肌肉痛,nz
腹瀉， 3 月 11 日,nz
院校,n
瑪麗醫院急症室,nt
 3 月 12 日證實對病毒,nz
 2 月 22 日至 3 月 1 日在美國波士頓，,nz
波士頓,PER
東京,v
 3 月 2 日,nr
達菲律賓馬尼拉,nr
搭國,v
泰航空 CX930 ,nt
馬尼拉,LOC
返抵,v
 4 月 ,nr
12,m
輕微氣喘症狀,nz
再度,d
，檢測對病毒,nz
為 16 個月大男嬰，,nr
第 130 號,m
 131 號夫婦,nr
 2 月 29 日乘 CX,nz
飛,v
。男嬰,nr
比,p
更早,d
徵， 3 月 1 日發燒攝氏 ,nr
37.6 度,m
 3 月 12 日起有流鼻水病徵， 3 月 12 日送往瑪嘉烈醫院，,nz
至今,d
年,n
紀,v
最小,a
首名,m
嬰兒,v
林村,LOC
梧桐寨,LOC
 2 月 27 至 3 月 8 日,nz
英國，當晚,nr
250 頭,m
艙返港。,nz
 3 月 9 日與數名,nz
北角英皇道 625 號辦公室,nt
，3 月 11 日因出現症狀,nz
便,d
駕車,v
律敦治醫院急症室求醫，院方,nt
取,v
深喉樣本。,nz
透露,v
英國時,nr
意大利人,n
相,d
對方並無確診。,nr
上環順景雅庭,LOC
 2 月 10 至 26 日,nz
希臘，,PER
 2 月 26 及 27 日,nz
倫敦， 2 月 27 至 3 月 5 日,nz
 TK,nr
1828 ,m
 TK70 商務艙回港，3 月 8 日,nz
清水,n
灣行,v
山後，,nr
治求,v
醫。 3 月 12 日向院方,nt
留下,v
深喉樣本後， 3 月 13 日正式確診。,nz
南區赤柱大街 18 號。自 3 月 7 日,nt
喉嚨痛徵狀，,nz
 2 月 27 日至 3 月 9 日在美國佛羅,nz
里,f
達州,LOC
 3 月 ,nr
10 日,m
佛羅,n
全日,n
空 NH811 ,nz
大坑春暉道大坑台,nt
 3 月 6 日,nz
 2 月 13 日至 3 月 8 日,nz
訪法國,PER
摩洛哥,LOC
泛航,v
 HV5760（經濟艙）,nr
荷蘭皇家航空 KL887（優質經濟艙）於 3 月 9 日抵港。,nt
柴灣永泰道 50 號一個樓上工作室，為設計建築師。 3 月 12 日,nt
鼻塞。 2 月 27 至 29 日,nz
杜拜，,PER
 2 月 ,nr
29,m
 3 月 1 日,nz
德里,LOC
 3 月 10 日乘搭 EK142 商務艙 ，11 日,nz
達杜拜，,PER
 E,nr
K,v
380 ,m
港，回港後,ORG
亨泰樓，與太太、兒子,nt
腰,n
患,v
下,f
快餐,n
店,n
早餐,n
 3 月 12 日,nz
素急症室， 13 日留深喉樣本。他與埃及團確診團友第 119 及 120 號個案,nz
較,v
層,v
 13 號單位。,nz
 1 月 23 日至 3 月 11 日,nz
英國倫敦，3 月 11 日,nz
 BA31 抵港。,nz
第 137 宗,nz
青衣宏福花園，兩人,nt
過摩洛哥,LOC
粉,n
嶺華明邨禮明樓,nr
 3 月 11 日,nz
 2 月 26 日至 3 月 11 日，,nz
北海道,LOC
滑雪,v
11 日,m
 CX561 班機從大阪返港。他與,nz
訪朋友,PER
德國，,PER
奧地利，,nr
 11 日,nr
返回,v
德國,PER
法蘭克福,PER
商務,n
客位,n
奧地利與,nr
一位,m
下交,v
談,v
名,n
德,ns
國確,v
 3 月 13 日返港後,nz
灣仔灣景國際酒店，大多時間,nt
房間,n
內。,v
與第 ,nr
146 宗,m
幾位,m
法國滑雪，,nz
 3 月 13 日,nz
260 ,m
港，估計,nz
受,v
貢,v
白沙,LOC
灣，,v
 3 月 10 日,nz
、發燒,nz
將軍澳醫院急症室,nt
145 宗,m
上周五,TIME
 第 ,nr
148 宗,m
加列山道,LOC
 65 號嘉麗園,nr
 3 月 10 日開始喉嚨痛， 3 月 11 日,nt
香港港安醫院–司,ORG
徒拔道,d
診， 3 月 ,nr
13,m
醫院求診， 3 月 14 日到律敦治醫院,nt
 3 月 14 日證實對病毒,nz
。夫婦,nr
 2 月 15 日至 3 月 2 ,nz
二日,TIME
訪多倫多， 3 月 2 日至 5 日到訪紐約， 3 月 5 日至 9 日,nz
訪波士頓，並,nr
國,v
泰航空 CX811（商務艙）於 3 月 10 日抵港。他們,nt
兒子、司機,nr
第 147 宗,nz
咳嗽帶痰 ， 3 月 13 日,nz
腹部,n
， 3 月 15 日腹瀉。 3 月 11 日,nt
香港港安醫院,ORG
–,w
司徒,n
拔道,v
診，3 月 ,nr
14日,TIME
 3 月 15 日證實對病毒,nz
 2 月 15 日至 3 月 2 日到訪多倫多， 3 月 2 日至 5 日到訪紐約， 3 月 5 日至 9 日,nz
國泰航空 CX811（商務艙）於 3 月 10 日抵港。他們,nt
城巴車長，,nr
薄扶林華富（二）邨華昌樓。回港後,nt
 3 月 11 日至 13 日下午駕駛 90、96 ,nz
 98 號線。他 3 月 14 日,nz
15,m
，現,v
時留院瑪麗醫院,nt
 2 月 28 至 3 月 15 日,nz
展覽,v
該展覽之後,nr
醫護報稱， 3 月 13 日已經發燒， 3 月 14 日咳嗽及喉嚨痛， 3 月 15 日乘坐國泰 CX270 班機,nt
港，之後,LOC
 Hotel Icon，,nr
返家,v
隨後,v
門診,n
醫，後轉介,nr
廣華醫院， 3 月 16 日確診,nt
 3 月 2 日至 7 日會,nz
合，,v
後該,v
目前,t
瑪嘉烈醫院檢測中。,nt
為遊客，,nr
 2 月 25 日至 3 月 10 日,nz
訪阿拉伯,PER
酋長國迪拜， 3 月 10 日,nt
阿聯酋航空,ORG
，抵港後,nr
獨,v
尖沙咀,LOC
陽光國際酒店。,nt
午禱,nr
，然後,v
長沙灣買電器。,nz
屯門海典軒 1 座，與太太、兒子,ns
 3 月 5 日至 13 日與太太參與美麗華旅行社一個埃及團，同團約,nt
 20 人，,nz
開羅、紅海,nr
也有,v
乘光,d
觀光,v
郵輪遊尼羅河,nr
 3 月 13 日乘坐埃及航空 MS960 班機返港，然後坐 E33 巴士回家。他報稱 3 月 13 日開始頭痛， 3 月 14 日,nt
咳嗽， 3 月 15 日,nz
「鳳城」酒樓飲茶後，到屯門醫院急症室,nt
翻,v
資料,n
海典軒,nr
叫,v
鳳城皇宴,nr
同團,v
 2 人,nz
，暫時檢測,nr
皆,d
為第 143 宗,nr
女友,n
大圍百樂徑,nr
翠山,LOC
莊 ,v
10 座,m
男友,n
宗 2 月 26 日至 3 月 11,nz
，返港後 3 月 13 日,nz
長沙灣金百盛中心辦公室,ORG
。 3 月 15 日,nz
威爾斯醫院,ORG
痛，,v
12 日,m
伊利沙伯醫院急症室,ORG
 3 月 7 日至 14 ,nz
過倫敦、德國,nr
奧地利，並,nr
。 3 月 13 日,nz
倫敦，之後乘英國航空 BA27 航班返港。,nt
奧地利期間,nr
骨痛,n
症,n
， 3 月 15 日,nz
為 #143 ,nz
私人,n
司機。與,nz
鑽石山,LOC
龍蟠苑龍珠閣，,nr
 3 月 11 日接 #143 ,nz
， 3 月 12 日接他去 #154 ,nz
大圍居,LOC
文件,n
與 ,v
#,w
143 ,m
有長,v
觸，,nr
此外,c
時間多數,nz
車上,s
 3 月 14 日於華明邨麥當勞逗留，,nz
新,a
蒲崗 Mikiki 為座駕充電。,nz
， 3 月 9 日開始發燒、咳嗽,nz
喉嚨痛。 曾外遊，1 月 20 日,nz
， 2 月 28 往奧地利滑雪， 3 月 6 日,nz
。 3 月 12 日返港後,nz
港島香格里拉酒店， 13 日到合和中心,nt
15 日與兩名,m
萬豪酒店,LOC
用膳,v
，期間,v
嚴重不適，,nr
才,d
逸瓏灣，潛伏期分別,nz
訪溫哥華,nr
 CX837 ,nr
回家,v
適。,v
潛伏期間,nr
返工,v
 2 、 3 日，,nz
觀塘 Two Harbour Square。患者與 #157 ,nt
逸瓏灣 16 座，並在東區醫院任職醫生，與 #157 ,nz
一起,d
 3 月 6 日至 14 日到訪加拿大溫哥華,nz
威士,n
拿,v
 3 月 14 日,nz
溫哥華,nr
泰航空 CX837 （商務艙）於 3 月 15 日抵港。,nt
復工,n
且,c
之後,v
花。,n
 3 月 15 日,nz
腹瀉,v
痛， 3 月 ,nr
 3 月 3 日至 12 日與,nz
訪英,PER
巴塞隆拿及法國,nz
泰航空 CX260 於 3 月 13 日抵港。,nt
其位,r
彌敦道,LOC
337,m
339 號,m
金滿,PER
辦公室,n
新填地街街市,LOC
、超市、銀行、餐廳,nt
南區紅山半島棕櫚徑，,nr
學。,nr
喉嚨痛，3 月 16 日向私家醫生,nz
醫，獲轉介至東區尤德,nr
治療，3 月 17 日確診。,nz
日内瓦,LOC
英國航空 BA0733（經濟艙）,nt
英,LOC
英國航空 BA33（經濟艙）於 3 月 15 日,nt
達馬來西亞,nr
吉隆坡,LOC
馬來西亞航空 MH78（經濟艙）,nr
姐姐,n
為國泰,nr
空姐,n
屯門市,LOC
廣場 4 座。,nz
國泰航空 CX315（商務艙），,nz
馬德里,nr
國泰航空 CX320（商務艙）執勤，並,nt
 3 月 11 日抵港。,nz
 3 月 11 日乘搭 E33 ,nz
快餐店,n
飯,v
喉嚨痛，,nz
醫， 3 月 ,nr
聽取,v
報告時,v
徵，獲轉介,nr
油麻地御金   國峰 7 座。,nz
網上課程學生，,nz
大部分,n
咳嗽，3 月 13 日向私家醫生,nz
醫，3 月 ,nr
醫，3 月 17 日確診。,nr
 3 月 8 日、9 日,nt
 9 日,nr
飯局,n
 2 月 29 日至 3 月 8 日,nz
咳嗽，該名,nz
檢測。,nr
薄扶林道 86 號嘉瑜園,nr
 2 月 27 日離港，,nz
倫敦，,PER
 3 月 6 日抵港。,nz
 3 月 10 日開始發燒，3 月 11 日,nz
15 日,t
全身,n
乏力,v
，3 月 ,nr
留學,v
 3 月 10 日開始咳嗽， 3 月 16 日抵達香港國際機場時獲衞生署轉介至廣華醫院， 3 月 17 日確診，,nt
英國航空 BA0033（經濟艙）,nt
 3 月 16 日,nz
 CX5734（經濟艙）抵達,nr
丹麥哥本哈根,PER
 6 個月,nr
 2 月 29 日至 3 月 10 日從,nz
哥本哈根,LOC
巴塞隆,PER
旅,n
 3 月 5 日出現輕微氣促及肚瀉，3 月 16 日開始喉嚨痛。,nt
 3 月 16 日抵達香港國際機場時獲衞生署轉介至瑪嘉烈醫院，3 月 17 日確診,nt
卡塔爾航空 QR160（經濟艙）,nt
卡塔爾多哈，並,nr
多哈,LOC
 QR818（經濟艙）於 3 月 16 日抵港。與,nt
 3 月 11 日至 16 日,nz
同行,n
，從,nr
泰航,ORG
後感,n
機場送往屯門醫院,nt
 3 月 10 日開始咳嗽， 3 月 16 日抵達香港國際機場時獲轉介至明愛醫院， 3 月 17 日確診，及後轉往瑪嘉烈醫院。,nt
英國航空 BA27（商務艙）於 3 月 16 日抵港。,nt
為國泰空少，過,nr
牛池灣街彩輝邨彩華樓,nt
國泰航空 CX812（商務艙）,nt
數天,n
從波士頓,nr
國泰航空 CX811（商務艙）工作，並,nt
 3 月10 日抵港。,nz
服務,v
第 147 及 148 宗,nz
由於,p
國泰,v
通知,v
當值,v
 3 月 16 日往東九龍普通科門診診,nz
 3 月 17 日證實對病毒,nz
，將會,nr
灣仔皇后大道東 258 號尚翹峰 2 座。,nz
 3 月 4 至 11,nz
訪奧地利，並,nr
 LX138（商務艙）從瑞士蘇黎世於 3 月 11 日抵港。,nz
 3 月 16 日往貝夫人普通科門診診,nt
調查,v
奧地利,nr
芬蘭確診,nr
上海,LOC
 2 月 24 日至 3 月12 日,nz
訪德國，3 月 16 日開始發燒。,nt
北角香港維港凱悅尚萃酒店，病發前兩日,nt
私家醫院，,nt
 3 月 3 日至 3 月 12 日,nz
訪荷蘭,PER
，3 月 14 日開始發燒，,nz
 3 月 12 日至 15 日,nz
時，,nr
一場,m
婚禮,n
17 日,t
威爾斯親王醫院。患者為運動員， 2 月 9 日至 3 月 14 日,nt
法國,n
、奧,v
地利,n
培訓， 3 月 15 日起有喉痛、咳,nz
頭痛，抵港後無,nr
而是,v
沙田體院,ORG
宿舍,n
 3 月17 日,nz
後轉介威爾斯親王醫院,nr
新華,n
西歐團，該團,nr
共有,v
逾,v
 30 人，當,nz
 3 月 4 日至 14 日,nz
、德國、,v
法國，抵港後與,nz
強制,n
，該,n
 3 月 17 日起發燒，,nz
後由救護車,nr
為 #162 ,nz
用,p
膳。,n
 2 月 28 日至 3 月 9 日,nz
，3 月 9 ,nr
日起,v
伊利沙伯醫院後確診。#175 ,nt
 #176 ,nz
情侶,n
 2 月 27 日至 3 月 14 日 期間,nz
沖繩、,nr
泰國,v
曼谷,LOC
清邁。,nr
港感,n
醫， 3 月 18 日正式確診。#175 ,nz
醫， 3 月 18 日正式確診。#177 ,nz
 #178 ,nz
為一對夫婦，,nr
法國，丈夫則,nz
巴塞羅那與,ns
碰,v
頭， 3 月 ,nr
港， 3 月 16 日起咳嗽及喉嚨痛，隨後入住瑪麗醫院。,nt
黃竹坑參與派對。第 177 宗,nt
 178 宗個案為一對夫婦，,nz
港， 3 月 16 日起咳嗽及喉嚨痛，隨後入住瑪麗醫院,nt
 3 月 12 日至 16 日,nz
美國,n
曾參與,PER
黃,v
竹坑,n
派,v
對。,nr
 3 月 1 日至 14 日,nz
訪英國，返港後 3 月 16 日開始頭痛，經私家醫生協助,nt
取樣,v
本化,v
驗後確診,nr
 2 月 29 日至 3 月 14 日,nz
訪英國倫敦，返港後不適，經私家醫生協助,nt
錄，,v
加拿大,LOC
國際,v
學校,n
任,v
職文員。據,nz
知,v
兩周,m
內，,nr
經常,d
環蘭,v
桂坊飲酒消遣,nz
大量,a
為南華早報（,nr
青年,n
報）,v
自由身,n
記者,n
訪英國倫敦。 ,nt
中國銀行大廈（香港中環德輔道中 2 號 A ） 13 至 15 樓,nt
中國會，並,nr
中銀分行大堂,ORG
辦公地點樓層，管理公司,nt
消毒,v
，返港,ns
為英國留學,nr
生,v
 3 月 16 日返港後,nz
杜拜,PER
旅程,n
中途,d
診。 ,nr
3月,TIME
 10 日經多哈轉機返港後,nt
為英,nr
國留,v
學生， 3 月 17 日,nr
直,d
 Grade 11 學生，為 #189 ,nz
英國醫院求診， 3 月 17 日返港後，於機場直送醫院,nt
第 188 宗,m
父親,n
 3 月 17 日返港後，,nz
直送,v
訪英國，私家診所檢測後初步陽性。,nt
新港城,LOC
 C 座，無外遊紀錄， 3 月 16 日起,nt
，現於,v
威爾斯親王醫院留醫。,nr
 3 月 14 日去愉景灣參加露天雞尾酒會式婚禮，當天,nz
 80 多人,nz
聊天,v
喝,v
東西。,nz
確診（#233 ,nr
 #237 ,nz
）。,v
 3 月13 日,nz
，令,n
兩人確診（#217 患者 和 #250 ,nz
油麻地碧街,LOC
 號恆裕閣，灣仔中環,nr
廣場,v
外遊紀錄。 3 月 6 日,nz
蘭桂坊,nr
 2 間酒吧。 3 月 11 日,nt
流鼻水症狀，,nz
 3 月 14 日看過私家醫生， 3 月 17 日到油麻地普通科門診,nz
深喉樣本後,nr
 3 月 17 日,nz
正式,ad
確診，,nr
報稱,v
屯門貝爾特酒店， 3 月 7 日至 16 日,nt
， 3 月 11 日起咳嗽,nz
水，,n
干德道 29 號康威園 A-B 座,nz
 2 月 28 日至 3 月 10 日,nz
九龍塘施他佛道 25 號行德園，,nt
 2 月 15 至 23 日,nz
，當時,nr
 3 月 17 日出現發燒徵狀，,nz
廣華醫院,ORG
訪蘭桂芳 ,nr
P,v
ure Fitness 健身中心,nt
葵芳邨葵安樓，,nr
 3 月 5 日至 13 日,nz
 3 月 13 日出現發燒、咳嗽,nz
，留學英國。,nz
 3 月 10 日出現咳嗽、呼吸困難,nz
發燒，獲衛生署轉介往瑪嘉烈醫院,nt
將軍澳廣明苑廣寧,nr
閣，,v
 2 月 1 日至 ,nz
 3 月 18 日,nz
金巴利道 26 號，,nz
 3 月 6 日至 9 日,nz
新加坡,LOC
尖沙咀帝國酒店,LOC
 3 月 2 日至 16 日到過荷蘭、英國、芬蘭,nz
泰國。,nr
 3 月 16 日出現喉嚨,nz
元朗白沙村,LOC
 3 月 6 日至 12 日,nz
 3 月 18 日出現發燒，,nz
 2 月 29 日至 3 月 17 日,nz
喉嚨痛徵狀，獲衛生署轉介往北區醫院,nt
淺水灣麗景道 34 號麗景園第 4 座，於 3 月 7 日至 16 日到過美國。,nz
 3 月 18 日出現發燒徵狀，,nz
九肚山,LOC
麗坪路,LOC
33 號玖瓏山第 3 座 Court B，,nt
 3 月 3 日至 17 日到過美國。,nz
中銀大廈（香港中環花園道 1 號）40 樓,nt
租戶,v
職員，並,nz
非,v
中銀,ORG
員工,n
 18 日,nz
中銀大廈 40 樓辦公室,nt
，經醫院檢查後確診,nt
冠狀病毒肺炎。,nz
將軍澳康城路 1 號首都第 2 座，於 3 月 3 日至 16 日,nt
香島道 46 號,nr
 3 月 1 日至 12 日,nz
過美國紐約,nr
多倫多,nr
英國倫敦。,nz
 3 月 13 日出現喉嚨痛徵狀，,nz
孕婦，過,nz
舊山頂道 18 號曉峰閣，於 1 月 24 日至 3 月 16 日,nt
澳洲,LOC
意大利,LOC
、德國,nz
杜拜。,PER
流鼻水徵狀，,nz
為 #169 ,nz
用餐,v
黃竹坑,LOC
參與派對。,nr
 K11 ARTUS 酒店。,nt
頭痛，,nr
灣仔秀華坊 15 號海華苑 ,nr
 3 月 2 至 12 日,nz
老撾。,nr
咳嗽徵狀，,nz
灣仔皇后大道,LOC
東 ,v
200 號囍,m
匯 ,v
3 座,m
 2 月 28 日至 3 月 13 日到過法國,nz
瑞典,LOC
 3 月 14 日出現發燒徵狀，,nz
東涌美東街 2 號東堤灣畔,ns
 3 月1 日至 11 日,nz
印尼,LOC
出發,v
英國倫敦，至 15 日,nz
 3 月 16 日出現流鼻水徵狀，,nz
 #114 ,nz
塘道 108 號安慧苑，,nz
檢疫中心至第 12 日,nt
檢測,v
為 #181 ,nz
半山堅尼地道 58,nz
 60 號金櫻,nr
 2 月 28 日至 3 月 15 日,nz
過英國倫敦、,nz
法國。,nz
 41A 號玫瑰新邨 F 座，,nt
留學。2 月17 日至 3 月 16 日,nz
、德國、荷蘭,nz
 3 月 12 日出現流鼻水症狀，,nz
曾與第,nr
191 宗,m
觸。,n
渣,n
華道,v
，潛伏期間,nr
 1 日,nz
美國三藩市外遊。規劃署,nt
北角政府合署 15 樓工作，,nt
辦,v
公室,n
為 3 月 4 日,nr
休假,v
確診，並,nr
荃灣翠豐,nr
臺 ,v
5 座,m
學，3 月 ,nr
症狀，,nz
瑪嘉烈醫院留醫。,nr
荃灣萬景峯,nr
 3 月 9 日至 18 日,nz
，3 月 11 日,nz
呼吸困難,n
深水埗,LOC
接載,v
，並無外遊紀錄。3 月 ,nr
16 日起,m
。司機稱,nr
佩戴,v
口罩,n
惟有,v
未必,d
 #174 ,nz
明愛醫院,nt
淺水灣麗景道 34 號麗景園第 4 座，,nz
 3 月 3 日至 16 日,nz
美國，與 #203 ,nz
關,n
連。,v
 3 月 18 日出現疲倦症狀。,nz
半山 7 號梅苑，3 月 1 日至 13 日,nt
英國，3 月 9 日出現咳嗽症狀，,nz
赤柱村道,LOC
 4 號 Grosse Pointe Villa，3 月 15 日從美國抵港，,nz
 3 月 17 日出現咳嗽症狀。,nz
太子道東 638 號譽,nz
·,w
港灣 ,nr
7 座,m
淺水灣道 109 號影灣園第 3 座，,nz
英國留學,v
 3 月 19 日,nz
頭,v
症狀。,nz
紅磡,v
海逸豪園悅濤灣 3 座，無外遊記錄。,nt
荷李活道 Pure Fitness 健身中心,nt
，與妻子（#154 ,nz
）居,v
馬頭角鶴齡街 8 號，無外遊記錄。,nz
乾咳症狀，,nz
荃灣綠楊新邨 C 座，,nz
 3 月 16 日起喉嚨痛,nz
英國留學生，,nz
 3 月 16 日抵港後返港後,nz
香港瑞吉酒店，,ORG
後出現咳嗽症狀，,nz
天水,LOC
圍天瑞邨瑞林樓，,nr
 3 月 8 日至 17 日,nz
多,ad
哈及,v
伊斯坦堡,LOC
 3 月 19 日起發燒，,nz
嶺逸,v
峯 ,v
英國留學生。 3 月 17 日,nz
， 3 月 18 日,nz
暈眩,nr
青衣長康邨康平樓，與 #191、#237 及 #253 ,nz
過愉景灣,nr
淺水灣南灣道， 3 月 2 日至 10 日到訪英國， 3 月 16 日至 17 日,nz
17 日起,m
瑪麗醫院留醫。,nr
半島， 2 月 29 日至 3 月 18 日到過加拿大， 17 日起,nz
灣仔英皇駿景酒店， 3 月 1 日至 14 日,nt
過法國,nr
英國。 3 月 18 日發燒、呼吸困難,nz
為 #191 ,nz
 3 月 14 日愉景灣一個雞尾酒式婚禮。,nz
與 6 至 7 個,nr
涉及,v
 30 多人，,nz
過秘魯、亞馬,nr
遜,v
河,n
港後確診,nr
輕微肚屙，,nr
已經,v
西貢禾塘崗 31 號， 2 月 29 日至 3 月 8 日,nt
， 3 月 9 日出現咳嗽病徵，,nz
，為菲律賓女傭,nz
主,n
海栢花園 1 座。 3 月 12 日前居於馬尼拉，3 月 13 日起流鼻水。（衛生防護中心,nt
